jurisdiction,county,agency_type,fee_category,fee_name,amount,unit_basis,housing_type,effective_date,source_url,source_title,verified_date,verified_by,notes
Sacramento,Sacramento,city,General Plan,Housing Impact Fee,see source attachment,"Per City Code 17.712.050, the fees are adjusted each fiscal year based on increases in the San Francisco construction cost index. See attachment.",residential (see notes),FY2026-27 posting,https://services5.arcgis.com/54falWtcpty3V47Z/arcgis/rest/services/Fees_And_Charges/FeatureServer/1/query?where=OBJECTID%3D1&outFields=*&f=json,City of Sacramento Fees and Charges open data service (Gov. Code 65940.1 posting),2026-07-22,build,"City Code 17.712.050, Ordinance 2015-0029, Resolution 2015-0294; attachment: 21000123157002025-07-01Housing_Impact_Fee_Notice_FY27.pdf"
Sacramento,Sacramento,city,Building Permit Fees,Central City Impact Fee,see source attachment,"The fee is determined by square footage, number of units, and/or number of rooms for existing and proposed land uses (residential, retail, office, hotel, or light industrial).  For more detail contact",residential (see notes),FY2026-27 posting,https://services5.arcgis.com/54falWtcpty3V47Z/arcgis/rest/services/Fees_And_Charges/FeatureServer/1/query?where=OBJECTID%3D4&outFields=*&f=json,City of Sacramento Fees and Charges open data service (Gov. Code 65940.1 posting),2026-07-22,build,"City Code 18.56, Article 8, Ordinance 2018-0015, Resolution 2019-0407; attachment: 210001122NEXT2020-01-01Central_City_Development_Impact_Fee_Year_2_Rates.pdf"
Sacramento,Sacramento,city,Building Permit Fees,School Impact Fees,see source attachment,The fee rate varies by school district. No monies are collected by the City of Sacramento for this fee. The City requires proof of payment at the appropriate school district in the form of a completed,residential (see notes),FY2026-27 posting,https://services5.arcgis.com/54falWtcpty3V47Z/arcgis/rest/services/Fees_And_Charges/FeatureServer/1/query?where=OBJECTID%3D8&outFields=*&f=json,City of Sacramento Fees and Charges open data service (Gov. Code 65940.1 posting),2026-07-22,build,"EXCLUDED from INSITE financing at launch (program decision); The collection of School Impact Fees was authorized by the passage of State assembly bill 2926. Relevant codes include but are not limited to: California Government Code 65995-65998 and 53080, California Education Code sections 17620-17626, and 48222, California health and Safety Code 50519; attachment: 21000112256682016-07-02CDD-0226_School-Disctrict-Impact-Fees_2026-0701.pdf"
Sacramento,Sacramento,city,Building Permit Fees,Sacramento Area Flood Control Agency Development Impact Fee (SAFCA-DIF),see source attachment,,residential (see notes),FY2026-27 posting,https://services5.arcgis.com/54falWtcpty3V47Z/arcgis/rest/services/Fees_And_Charges/FeatureServer/1/query?where=OBJECTID%3D9&outFields=*&f=json,City of Sacramento Fees and Charges open data service (Gov. Code 65940.1 posting),2026-07-22,build,SAFCA Resolution 2020-005; attachment: 21000112256672016-12-30SAFCA-DIF-effective-7-1-2020.pdf
Sacramento,Sacramento,city,Building Permit Fees,Habitat Conservation Fee,see source attachment,"Calculated per gross acre with land dedication option: $47,567 per gross acre or $33,817 per gross acre, if land dedication option is utilized.",residential (see notes),FY2026-27 posting,https://services5.arcgis.com/54falWtcpty3V47Z/arcgis/rest/services/Fees_And_Charges/FeatureServer/1/query?where=OBJECTID%3D14&outFields=*&f=json,City of Sacramento Fees and Charges open data service (Gov. Code 65940.1 posting),2026-07-22,build,"City Code 18.40, Ordinance 97-046, Resolution 2026-0130; attachment: 21000112231012018-01-30HCP_Natomas_Basin_map.pdf"
Sacramento,Sacramento,city,Development Services,Quimby/ Parkland Dedication Ordinance,1.75/1000 or 3.5/1000,See Attached Ordinance,residential (see notes),FY2026-27 posting,https://services5.arcgis.com/54falWtcpty3V47Z/arcgis/rest/services/Fees_And_Charges/FeatureServer/1/query?where=OBJECTID%3D18&outFields=*&f=json,City of Sacramento Fees and Charges open data service (Gov. Code 65940.1 posting),2026-07-22,build,Resolution: 2017-0009; attachment: 19000113657082019-06-26Quimby_17.512_Ordinance.pdf
Sacramento,Sacramento,city,Development Services,Park Development Impact Fee Residential and Non-Residential,see source attachment,,residential (see notes),FY2026-27 posting,https://services5.arcgis.com/54falWtcpty3V47Z/arcgis/rest/services/Fees_And_Charges/FeatureServer/1/query?where=OBJECTID%3D19&outFields=*&f=json,City of Sacramento Fees and Charges open data service (Gov. Code 65940.1 posting),2026-07-22,build,Resolution: 2017-0070; attachment: 19000113639392026-04-20Notice_of_PIF_Fees_July_1_2027.pdf
Sacramento,Sacramento,city,Miscellaneous,Transportation Development Impact Fee (TDIF),see source attachment,,residential (see notes),FY2026-27 posting,https://services5.arcgis.com/54falWtcpty3V47Z/arcgis/rest/services/Fees_And_Charges/FeatureServer/1/query?where=OBJECTID%3D38&outFields=*&f=json,City of Sacramento Fees and Charges open data service (Gov. Code 65940.1 posting),2026-07-22,build,Reso 2017-0071; Reso. 2024-0153; attachment: 15000115857942024-07-01TDIF_Rates_FY25.pdf
Sacramento,Sacramento,city,Drainage Development Fee,Combined Sewer Drainage Development Fee,see source attachment,Based on increased impervious area.  Offset by the Combined Sewer Service Area Sewer Development Fee,residential (see notes),FY2026-27 posting,https://services5.arcgis.com/54falWtcpty3V47Z/arcgis/rest/services/Fees_And_Charges/FeatureServer/1/query?where=OBJECTID%3D42&outFields=*&f=json,City of Sacramento Fees and Charges open data service (Gov. Code 65940.1 posting),2026-07-22,build,RESO 2023-0368; RESO 2025-0128; attachment: 14000167660952026-07-01Combined_Sewer_Drainage_Development_Fee.pdf
Sacramento,Sacramento,city,Drainage Development Fee,Drainage Development Fee,see source attachment,Based on increased impervious area dependent on drainage basin type,residential (see notes),FY2026-27 posting,https://services5.arcgis.com/54falWtcpty3V47Z/arcgis/rest/services/Fees_And_Charges/FeatureServer/1/query?where=OBJECTID%3D43&outFields=*&f=json,City of Sacramento Fees and Charges open data service (Gov. Code 65940.1 posting),2026-07-22,build,RESO2023-0368; RESO 2025-0128; attachment: 14000167660942026-07-01Drainage_Development_Fee.pdf
